player,goals,xG,shots,assists,xA,key_passes,time,position,h_a,yellow_card,red_card,match_id,league,date_of_match,season
Matías Dituro,0,0,0,0,0,0,90,GK,h,0,0,17204,La liga,2021-09-27,2021-2022
Hugo Mallo,0,0.02409341372549534,2,0,0.1666765660047531,2,90,DR,h,0,0,17204,La liga,2021-09-27,2021-2022
Jeison Murillo,0,0,0,0,0,0,90,DC,h,0,0,17204,La liga,2021-09-27,2021-2022
Néstor Araújo,0,0.02346081286668777,1,0,0,0,87,DC,h,0,0,17204,La liga,2021-09-27,2021-2022
Javi Galán,0,0.03071136027574539,2,0,0.0663030594587326,1,90,DL,h,0,0,17204,La liga,2021-09-27,2021-2022
Renato Tapia,0,0.01289722602814436,1,0,0,0,87,DMC,h,0,0,17204,La liga,2021-09-27,2021-2022
Nolito,0,0,0,0,0,0,63,MC,h,0,0,17204,La liga,2021-09-27,2021-2022
Brais Méndez,0,0.01131880655884742,1,0,0.01956311799585819,1,79,MC,h,1,0,17204,La liga,2021-09-27,2021-2022
Fran Beltrán,0,0.01956311799585819,1,0,0.00657585961744189,1,47,MC,h,0,0,17204,La liga,2021-09-27,2021-2022
Santi Mina,0,0.15501075983047485,2,1,0.07970069348812103,1,90,FW,h,0,0,17204,La liga,2021-09-27,2021-2022
Iago Aspas,0,0.8018437027931213,2,0,0.01289722602814436,1,90,FW,h,1,0,17204,La liga,2021-09-27,2021-2022
Augusto Solari,0,0,0,0,0,0,3,Sub,h,0,0,17204,La liga,2021-09-27,2021-2022
Denis Suárez,1,0.07970069348812103,1,0,0.0347796194255352,2,43,Sub,h,0,0,17204,La liga,2021-09-27,2021-2022
Franco Cervi,0,0,0,0,0.01751755364239216,1,27,Sub,h,0,0,17204,La liga,2021-09-27,2021-2022
Okay Yokuslu,0,0,0,0,0,0,3,Sub,h,0,0,17204,La liga,2021-09-27,2021-2022
Thiago Galhardo,0,0.1079825758934021,1,0,0,0,11,Sub,h,0,0,17204,La liga,2021-09-27,2021-2022
Luís Maximiano,0,0,0,0,0,0,78,GK,a,0,0,17204,La liga,2021-09-27,2021-2022
Quini,0,0,0,0,0.02686694636940956,1,90,DR,a,1,0,17204,La liga,2021-09-27,2021-2022
Domingos Duarte,0,0,0,0,0,0,78,DC,a,1,0,17204,La liga,2021-09-27,2021-2022
Germán Sánchez,0,0,0,0,0,0,90,DC,a,0,0,17204,La liga,2021-09-27,2021-2022
Carlos Neva,0,0,0,0,0.33606258034706116,2,90,DL,a,1,0,17204,La liga,2021-09-27,2021-2022
Antonio Puertas,0,0,0,0,0,0,78,MR,a,1,0,17204,La liga,2021-09-27,2021-2022
Luis Milla,0,0,0,0,0,0,90,MC,a,0,0,17204,La liga,2021-09-27,2021-2022
Maxime Gonalons,0,0,0,0,0,0,18,MC,a,0,0,17204,La liga,2021-09-27,2021-2022
Alberto Soro,0,0.3974311947822571,3,0,0.01842751167714595,1,90,ML,a,0,0,17204,La liga,2021-09-27,2021-2022
Luis Suárez,0,0.11696767061948776,2,0,0,0,90,FW,a,0,0,17204,La liga,2021-09-27,2021-2022
Carlos Bacca,0,0.03606593236327171,1,0,0,0,69,FW,a,0,0,17204,La liga,2021-09-27,2021-2022
Jorge Molina,0,0,0,0,0,0,21,Sub,a,1,0,17204,La liga,2021-09-27,2021-2022
Aarón,0,0,0,0,0,0,12,Sub,a,1,0,17204,La liga,2021-09-27,2021-2022
Montoro,0,0.01842751167714595,1,0,0,0,72,Sub,a,1,0,17204,La liga,2021-09-27,2021-2022
Sergio Escudero,0,0,0,0,0,0,12,Sub,a,0,0,17204,La liga,2021-09-27,2021-2022
Víctor Díaz,0,0,0,0,0,0,12,Sub,a,0,0,17204,La liga,2021-09-27,2021-2022
Niki Mäenpää,0,0,0,0,0,0,90,GK,h,0,0,16814,Serie A,2021-09-27,2021-2022
Pasquale Mazzocchi,0,0.04961235821247101,1,0,0,0,90,DR,h,0,0,16814,Serie A,2021-09-27,2021-2022
Pietro Ceccaroni,0,0.05780620500445366,1,0,0,0,90,DC,h,0,0,16814,Serie A,2021-09-27,2021-2022
Michael Svoboda,0,0,0,0,0,0,90,DC,h,0,0,16814,Serie A,2021-09-27,2021-2022
David Schnegg,0,0,0,0,0,0,66,DL,h,0,0,16814,Serie A,2021-09-27,2021-2022
Domen Crnigoj,0,0,0,0,0.480088472366333,2,66,MR,h,0,0,16814,Serie A,2021-09-27,2021-2022
Antonio Vacca,0,0,0,0,0,0,37,MC,h,0,0,16814,Serie A,2021-09-27,2021-2022
Gianluca Busio,0,0,0,0,0,0,87,MC,h,0,0,16814,Serie A,2021-09-27,2021-2022
Sofian Kiyine,0,0,0,0,0.05780620500445366,1,90,ML,h,0,0,16814,Serie A,2021-09-27,2021-2022
David Okereke,0,0.480088472366333,2,0,0.13250553607940674,1,90,FW,h,0,0,16814,Serie A,2021-09-27,2021-2022
Dennis Johnsen,0,0.13250553607940674,1,0,0,0,88,FW,h,0,0,16814,Serie A,2021-09-27,2021-2022
Thomas Henry,0,0,0,0,0,0,2,Sub,h,0,0,16814,Serie A,2021-09-27,2021-2022
Tyronne Ebuehi,0,0,0,0,0,0,24,Sub,h,0,0,16814,Serie A,2021-09-27,2021-2022
Luca Fiordilino,0,0,0,0,0,0,3,Sub,h,0,0,16814,Serie A,2021-09-27,2021-2022
Ethan Ampadu,0,0,0,0,0,0,53,Sub,h,1,0,16814,Serie A,2021-09-27,2021-2022
Mattia Aramu,1,0.8064826726913452,2,0,0,0,24,Sub,h,0,0,16814,Serie A,2021-09-27,2021-2022
Vanja Milinkovic-Savic,0,0,0,0,0,0,90,GK,a,1,0,16814,Serie A,2021-09-27,2021-2022
Koffi Djidji,0,0,0,0,0,0,78,DC,a,0,1,16814,Serie A,2021-09-27,2021-2022
Bremer,0,0,0,0,0,0,90,DC,a,0,0,16814,Serie A,2021-09-27,2021-2022
Ricardo Rodríguez,0,0.02154907956719398,1,0,0,0,90,DC,a,0,0,16814,Serie A,2021-09-27,2021-2022
Wilfried Stephane Singo,0,0.05209678784012794,2,1,0.4881377518177033,1,73,DMR,a,0,0,16814,Serie A,2021-09-27,2021-2022
Cristian Ansaldi,0,0,0,0,0.04041082039475441,1,90,DML,a,0,0,16814,Serie A,2021-09-27,2021-2022
Tommaso Pobega,0,0,0,0,0,0,73,MC,a,1,0,16814,Serie A,2021-09-27,2021-2022
Sasa Lukic,0,0,0,0,0.21424831449985504,3,90,MC,a,0,0,16814,Serie A,2021-09-27,2021-2022
Karol Linetty,0,0.02975306287407875,1,0,0,0,59,AMC,a,0,0,16814,Serie A,2021-09-27,2021-2022
Josip Brekalo,1,0.4881377518177033,1,0,0,0,80,AMC,a,0,0,16814,Serie A,2021-09-27,2021-2022
Antonio Sanabria,0,0.08865796774625778,2,0,0.02975306287407875,1,90,FW,a,0,0,16814,Serie A,2021-09-27,2021-2022
